任務領域,詞彙,漢語拼音,詞類
,多少,duōshǎo ,(Adv)
,小心,xiǎoxīn ,(VS)
,一樣,yīyàng ,(VS)
飲食,牛奶,niúnǎi ,(N)
,肉,ròu ,(N)
,蛋,dàn ,(N)
,菜,cài ,(N)
,餃子,jiǎozi ,(N)
,飯,fàn ,(N)
,麵,miàn ,(N)
,湯,tāng ,(N)
,包子,bāozi ,(N)
,蛋糕,dàngāo ,(N)
,麵包,miànbāo ,(N)
,水果,shuǐguǒ ,(N)
,蘋果,píngguǒ ,(N)
,香蕉,xiāngjiāo ,(N)
,食物,shíwù ,(N)
,飲料,yǐnliào ,(N)
,果汁,guǒzhī ,(N)
,酒,jiǔ ,(N)
,杯,bēi ,(M)
,杯子,bēizi ,(N)
,請,qǐng ,(VA)
,吃,chī ,(VA)
,喝,hē ,(VA)
,多,duō ,(VS)
,多 ,duō ,(Adv)
,少,shǎo ,(VS)
,甜,tián ,(VS)
,菜單,càidān ,(N)
,巧克力,qiǎokèlì ,(N)
,幾,jǐ ,(Det)
,塊,kuài ,(M)
,碗,wǎn ,(N)
,盤子,pánzi ,(N)
,片,piàn ,(M)
,瓶,píng ,(M)
,件,jiàn ,(M)
,一半/一半兒,yībàn/yībànr,(Det)
其他,因為,yīnwèi ,(Conj)
,所以,suǒyǐ ,(Conj)
,可是,kěshì ,(Conj)
,和,hé ,(Conj)
,跟,gēn ,(Conj)
,一起,yīqǐ ,(Adv)
,沒,méi ,(Adv)
,不,bù,(Adv)
,也,yě ,(Adv)
,都,dōu ,(Adv)
,只,zhǐ,(Adv)
,得,dé,(P)
,了,le,(P)
,著,zhe ,(P)
,過 ,guò ,(P)
,還是,háishì ,(Conj)
,可能,kěnéng ,(Adv)
,一定,yīdìng ,(Adv)
