詞彙,漢語拼音,詞類
交流,jiāoliú ,(VS)
交友,jiāoyǒu ,(VA)
驕傲,jiāoào ,(VS)
郊區,jiāoqū ,(N)
角度,jiăodù ,(N)
角/角色,jiăo/juésè,(N)
叫,jiào ,(VA)
叫,jiào ,(VS)
較,jiào ,(Adv)
教,jiào ,(VS)
教材,jiàocái ,(N)
教導,jiàodăo ,(VA)
教法,jiàofă ,(N)
教練,jiàoliàn ,(N)
教授,jiàoshòu ,(N)
教訓,jiàoxùn ,(N)
教育,jiàoyù ,(N)
教育,jiàoyù ,(VA)
接觸,jiēchù ,(VA)
接受,jiēshòu ,(VA)
接著,jiēzhe ,(Adv)
結,jié ,(VA)
結果,jiéguǒ ,(Conj)
結局,jiéjú ,(N)
節,jié ,(M)
節日,jiérì ,(N)
解決,jiějué,(VA)
解釋,jiěshì ,(VA)
姊妹,jiěmèi ,(N)
斤,jīn,(M)
金(子),jīn(zi),(N)
緊,jǐn ,(VS)
僅,jĭn ,(Adv)
儘管,jĭnguăn ,(Conj)
盡,jìn ,(VS)
進,jìn ,(VA)
進行,jìnxíng ,(VA)
進一步,jìnyíbù  ,(Adv)
經,jīng ,(VA)
經費,jīngfèi ,(N)
經過,jīngguò ,(Prep)
經過,jīngguò  ,(N)
經驗,jīngyàn ,(VS)
精神,jīngshén ,(N)
驚訝,jīngyà  ,(VS)
酒吧,jiŭbā ,(N)
救,jiù ,(VA)
舅舅,jiùjiu ,(N)
舅媽,jiùmā,(N)
就,jiù ,(Prep)
就是,jiùshì ,(Conj)
就算,jiùsuàn ,(Conj)
就要,jiùyào,(Adv)
居住,jūzhù ,(VA)
橘子,júzi ,(N)
舉,jǔ ,(VA)
舉辦,jŭbàn ,(VA)
舉手,jŭshŏu,(VA)
舉行,jǔxíng ,(VA)
句,jù ,(M)
聚,jù ,(VA)
劇本,jùběn ,(N)
劇情,jùqíng ,(N)
拒絕,jùjué ,(VA)
距離,jùlí ,(N)
具有,jùyŏu ,(VS)
絕對,juéduì ,(Adv)
軍隊,jūnduì ,(N)
軍人,jūnrén ,(N)
卡車,kǎchē ,(N)
開放,kāifàng ,(VA)
開花,kāihuā ,(VS)
開朗,kāilăng ,(VS)
開始,kāishǐ ,(N)
開玩笑,kāiwánxiào ,(VA)
看不起,kànbùqĭ,(VS)
看法,kànfǎ ,(N)
看起來,kànqĭlái,(Adv)
考,kǎo ,(VA)
棵,kē,(M)
刻,kē ,(VA)
科,kē ,(M)
科技,kējì ,(N)
科學,kēxué ,(VS)
可,kě ,(Adv)
可,kě ,(VS)
可靠,kěkào ,(VS)
可樂,kělè,(N)
可惡,kěwù ,(VS)
可惜,kěxí ,(VS)
可以,kěyǐ ,(VS)
渴望,kěwàng ,(VS)
克,kè ,(M)
克服,kèfú ,(VS)
課程,kèchéng ,(N)
課堂,kètáng ,(N)
課文,kèwén,(N)
客滿,kèmăn ,(VS)
刻,kè ,(M)
肯,kěn ,(VS)
肯定,kěndìng ,(VS)
空,kōng ,(VS)
空間,kōngjiān ,(N)
空軍,kōngjūn ,(N)
恐怕,kǒngpà ,(Adv)
空,kòng ,(VS)
口,kǒu ,(N)
口袋,kǒudài ,(N)
口味,kŏuwèi  ,(N)
誇張,kuāzhāng ,(VS)
快,kuài,(Adv)
快要,kuàiyào ,(Adv)
寬,kuān ,(VS)
況且,kuàngqiě ,(Conj)
困難,kùnnán ,(N)
困難,kùnnán ,(VS)
擴大,kuòdà ,(VA)
拉肚子,lādùzi ,(VA)
啦,la,(P)
來,lái ,(Adv)
來,lái ,(P)
來不及,láibùjí ,(VS)
來得及,láidejí  ,(VS)
藍,lán ,(VS)
浪漫,làngmàn ,(VS)
老公,lăogōng ,(N)
老虎,lăohŭ ,(N)
老婆,lăopó ,(N)
老實,lăoshí ,(VS)
老是,lăoshì ,(Adv)
樂,lè ,(VS)
樂觀,lèguān ,(VS)
樂趣,lèqù ,(N)
垃圾,lèsè ,(N)
淚,lèi ,(N)
類,lèi ,(M)
冷淡,lěngdàn ,(VS)
離,lí ,(Prep)
離婚,líhūn ,(VA)
里,lǐ ,(M)
裡/裏,lĭ/lĭ,(N)
裡邊,lĭbiān,(N)
理解,lĭjiě ,(VS)
理論,lĭlùn ,(N)
理想,lĭxiăng ,(N)
理想,lĭxiăng ,(VS)
裏面,lǐmiàn,(N)
禮堂,lĭtáng ,(N)
力,lì ,(N)
力量,lìlìàng,(N)
